,SPY213303,SPY213304,SPY213305,SPY213306,SPY213307,SPY213308,SPY213309,SPY213310,SPY213311,SPY213312,SPY213313,SPY213314,SPY213315,SPY213316,SPY213317,SPY213318,SPY213319,SPY213320,SPY213321,SPY213323,SPY213324,SPY213325,SPY213326,SPY213327,SPY213328,SPY213329,SPY213330,SPY213331,SPY213332,SPY213333,SPY213334,SPY213335,SPY213336,SPY213337,SPY213338,SPY213339,SPY213340,SPY213341,SPY213342,SPY213343,SPY213344,SPY213345,SPY213346,SPY213347,SPY213348,SPY213349,SPY213350,SPY213351
ASV_55,86,61,116,54,160,181,1400,433,432,210,671,2916,287,87,307,706,68,192,147,193,154,103,176,308,234,643,142,173,198,71,157,98,505,291,83,81,130,92,0,204,177,191,792,40,126,27,207,213
ASV_56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,45,27,0,0,0,0,0,0,0,0,0,0,0,0,0,5,45,15,2,9936,566,0,1,2597,276,24,3,0,0,0,0,33
ASV_57,0,0,0,0,0,0,1346,570,0,1667,997,1143,26,124,48,2649,816,781,12,40,35,45,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1341,0,897,900,0
ASV_58,144,141,302,288,0,74,0,0,0,734,111,0,0,0,0,0,0,0,0,0,67,78,0,0,0,0,0,33,0,0,0,0,287,0,0,0,251,2079,1153,627,0,0,1329,65,711,891,2272,1621
ASV_59,0,0,0,0,0,0,0,0,0,0,0,0,404,25,0,40,80,84,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9094,58,0,0,0,0,0,0,0,0,0,1548,1408,21,63,0
ASV_60,4,7,6,8,12,240,5269,108,0,0,187,0,0,22,2629,0,173,289,53,0,25,9,8,14,15,0,0,0,0,0,0,27,252,9,49,41,10,0,0,21,3156,88,11,0,13,0,29,22
ASV_61,0,0,5,13,22,0,0,0,88,0,1392,63,1065,112,1096,0,0,57,30,46,55,204,352,35,169,214,32,0,0,0,0,692,775,11,979,107,207,0,0,19,0,34,0,4637,0,0,196,53
ASV_62,0,0,0,0,0,0,0,0,0,0,601,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,2904,0,4862,3953,0
ASV_63,0,0,0,69,424,0,0,0,709,0,0,0,0,0,0,0,178,100,12,15,0,616,869,0,2437,5770,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_64,85,0,0,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,275,0,0,0,0,0,0,0,0,0,67,0,339,2293,105,0,57,3222,3800,206,0,110,0,0,0,0,173,149
ASV_65,0,0,0,68,166,0,560,0,9,6844,64,35,623,23,19,68,0,0,0,0,0,137,0,60,55,1952,275,0,18,0,0,25,298,0,0,30,0,0,0,0,16,31,0,0,0,53,37,0
ASV_66,88,80,63,0,222,95,172,164,100,0,168,77,503,142,330,224,66,149,103,0,0,127,358,253,391,114,62,1076,0,637,0,143,394,101,391,911,515,66,542,247,473,124,825,24,134,12,268,267
ASV_67,220,0,1448,494,181,83,3,0,0,0,770,38,333,648,239,402,121,107,67,72,36,0,39,23,11,22,24,164,0,0,0,0,301,0,0,153,26,12,25,0,0,744,158,1154,1578,672,647,0
ASV_68,0,0,0,0,0,0,0,0,0,270,1488,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6993,0,0,0,0,0,244,0,0,0,883,915,0
ASV_69,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9843,849,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0
ASV_70,14,0,30,224,48,36,0,0,0,340,175,0,4265,275,858,55,0,37,0,147,342,166,0,18,68,56,0,886,0,20,0,0,0,0,1027,1031,0,0,29,0,0,602,0,0,0,0,0,0
ASV_71,362,0,0,75,87,44,0,0,0,242,323,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703,0,0,2776,994,237,2154,0,985,1288,189
ASV_72,0,0,0,0,0,0,12,44,1013,0,0,0,2960,215,1488,0,0,82,0,0,0,612,691,864,89,97,21,0,0,0,0,0,0,0,1244,0,0,0,0,0,0,28,0,0,335,307,314,0
ASV_73,0,0,165,161,0,0,0,0,0,0,137,629,853,211,127,1573,594,636,57,166,233,66,432,0,0,0,0,0,0,0,0,89,361,0,1212,1150,0,63,615,0,0,107,0,0,290,106,105,16
ASV_74,131,72,1813,111,1099,0,0,0,0,104,0,0,1096,59,0,694,872,884,0,0,0,0,0,0,0,116,0,231,0,0,0,0,0,1011,0,0,163,114,0,0,0,0,1062,0,0,0,216,264
ASV_75,0,0,0,0,0,0,0,0,19,0,19,1399,114,72,543,36,0,27,12,43,0,0,437,0,0,0,0,0,0,0,0,446,26,0,369,227,201,0,0,0,0,31,117,0,2630,73,1614,1641
ASV_76,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,2662,2336,0,0,0,0,0,0,0,0,0,0,1252,0,0,0,0,0,0,0,3616,97,0,0,0,0,0,0
ASV_77,265,0,0,0,0,0,0,0,0,2355,806,0,197,0,0,1276,44,0,0,0,0,69,102,0,0,0,0,0,0,0,0,0,589,455,0,0,2042,0,0,0,85,50,1644,0,68,0,0,0
ASV_78,232,0,0,2039,1728,266,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,17,149,114,0,0,0,0,0,0,0,0,0,0,774,204,19,0,0,141,0,0,0,1990,1920
ASV_79,113,93,412,238,64,214,474,274,80,70,160,1229,112,14,0,0,24,57,51,87,75,52,40,196,160,100,103,1369,68,330,87,65,656,194,58,38,73,9,135,310,23,56,894,471,10,22,100,59
ASV_80,0,0,0,0,269,0,0,0,0,720,54,0,626,0,347,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,87,0,0,393,0,507,474,389,0,212,73,130,0,891,653,2041,1299
ASV_81,0,0,0,0,0,0,3246,796,3897,0,80,171,0,36,0,208,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,424,0,0,101,0,0,0,0,0,57,0,0,0,0,0,0,0
ASV_82,384,55,0,0,0,0,0,0,0,1691,702,0,152,0,0,0,24,23,0,175,451,281,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,382,521,1174,2986,0,0,0,53,103
ASV_83,0,135,0,91,0,0,0,0,0,117,303,0,0,0,0,0,0,0,50,34,60,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1520,252,926,55,252,0,0,4890,94,140,178
ASV_84,0,0,0,470,0,0,0,0,0,0,0,0,0,0,688,0,0,0,0,0,0,0,0,0,602,369,75,0,0,0,0,2702,166,0,3922,133,0,0,19,0,0,0,0,0,0,0,0,0
ASV_85,391,315,446,44,56,0,0,0,0,1641,46,83,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,49,14,0,0,0,1878,2770,126,0,94,14,41,821,0,164,99,0,0,0,0,0
ASV_86,21,8,17,0,336,9,0,69,33,84,59,0,243,96,58,1235,167,128,0,20,72,51,438,13,0,33,0,22,53,358,0,12,7,263,15,99,170,0,0,0,10,0,217,10,57,64,2324,2254
ASV_87,228,207,265,144,528,526,241,143,78,38,257,128,104,347,95,89,55,79,43,116,136,50,175,144,277,148,28,66,118,298,253,142,481,396,457,369,225,105,27,375,73,80,134,226,136,102,175,54
ASV_88,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,84,119,12,0,0,0,0,7868,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_89,0,0,0,0,0,0,139,0,0,7,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7853,512,19,0,0,0,0,0,0,14,0,0,0,0,0,12,24
ASV_90,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,92,7858,339,0,0,0,0,0,0,4,0,0,0
ASV_91,0,0,0,0,0,0,0,0,0,50,274,0,1239,50,0,0,0,0,27,728,632,0,0,0,0,0,0,0,0,0,0,0,0,496,0,40,0,73,0,0,97,4435,230,0,0,0,79,87
ASV_92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,22,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8357,0,0,0,1,0,0,0,0,0,0
